work_code,work_name,scope_class,work_group_scope,present_in_left,present_in_right,units_total_left,units_total_right,units_structurally_aligned,units_left_only,units_right_only,units_r0_eligible,units_r1_eligible,units_r2_eligible,units_r0_missing_vector,units_r1_missing_vector,units_r2_missing_vector
TOB,Tobit,EXCLUSIVE_LEFT,EXCLUSIVE_LEFT,True,False,244,0,0,244,0,0,0,0,0,0,0
WISD,WisdomofSolomon,EXCLUSIVE_LEFT,EXCLUSIVE_LEFT,True,False,436,0,0,436,0,0,0,0,0,0,0
1CH,1Chronicles,SHARED,OT_SHARED,True,True,942,942,942,0,0,942,942,0,0,0,942
1CO,1Corinthians,SHARED,NT_SHARED,True,True,437,437,437,0,0,437,437,0,0,0,437
1JN,1John,SHARED,NT_SHARED,True,True,105,105,105,0,0,105,105,0,0,0,105
1KI,1Kings,SHARED,OT_SHARED,True,True,816,816,816,0,0,816,816,0,0,0,816
1PE,1Peter,SHARED,NT_SHARED,True,True,105,105,105,0,0,105,105,0,0,0,105
1SA,1Samuel,SHARED,OT_SHARED,True,True,810,810,810,0,0,810,810,0,0,0,810
1TH,1Thessalonians,SHARED,NT_SHARED,True,True,89,89,89,0,0,89,89,0,0,0,89
1TI,1Timothy,SHARED,NT_SHARED,True,True,113,113,113,0,0,113,113,0,0,0,113
2CH,2Chronicles,SHARED,OT_SHARED,True,True,822,822,822,0,0,822,822,0,0,0,822
2CO,2Corinthians,SHARED,NT_SHARED,True,True,257,257,257,0,0,257,257,0,0,0,257
2JN,2John,SHARED,NT_SHARED,True,True,13,13,13,0,0,13,13,0,0,0,13
2KI,2Kings,SHARED,OT_SHARED,True,True,719,719,719,0,0,719,719,0,0,0,719
2PE,2Peter,SHARED,NT_SHARED,True,True,61,61,61,0,0,61,61,0,0,0,61
2SA,2Samuel,SHARED,OT_SHARED,True,True,695,695,695,0,0,695,695,0,0,0,695
2TH,2Thessalonians,SHARED,NT_SHARED,True,True,47,47,47,0,0,47,47,0,0,0,47
2TI,2Timothy,SHARED,NT_SHARED,True,True,83,83,83,0,0,83,83,0,0,0,83
3JN,3John,SHARED,NT_SHARED,True,True,14,14,14,0,0,14,14,0,0,0,14
ACT,Acts,SHARED,NT_SHARED,True,True,1007,1007,1007,0,0,1007,1007,0,0,0,1007
AMO,Amos,SHARED,OT_SHARED,True,True,146,146,146,0,0,146,146,0,0,0,146
COL,Colossians,SHARED,NT_SHARED,True,True,95,95,95,0,0,95,95,0,0,0,95
DAN,Daniel,SHARED,OT_SHARED,True,True,357,357,357,0,0,357,357,0,0,0,357
DEU,Deuteronomy,SHARED,OT_SHARED,True,True,959,959,959,0,0,959,959,0,0,0,959
ECC,Ecclesiastes,SHARED,OT_SHARED,True,True,222,222,222,0,0,222,222,0,0,0,222
EPH,Ephesians,SHARED,NT_SHARED,True,True,155,155,155,0,0,155,155,0,0,0,155
EST,Esther,SHARED,OT_SHARED,True,True,167,167,167,0,0,167,167,0,0,0,167
EXO,Exodus,SHARED,OT_SHARED,True,True,1213,1213,1213,0,0,1213,1213,0,0,0,1213
EZE,Ezekiel,SHARED,OT_SHARED,True,True,1273,1273,1273,0,0,1273,1273,0,0,0,1273
EZR,Ezra,SHARED,OT_SHARED,True,True,280,280,280,0,0,280,280,0,0,0,280
GAL,Galatians,SHARED,NT_SHARED,True,True,149,149,149,0,0,149,149,0,0,0,149
GEN,Genesis,SHARED,OT_SHARED,True,True,1533,1533,1533,0,0,1533,1533,0,0,0,1533
HAB,Habakkuk,SHARED,OT_SHARED,True,True,56,56,56,0,0,56,56,0,0,0,56
HAG,Haggai,SHARED,OT_SHARED,True,True,38,38,38,0,0,38,38,0,0,0,38
HEB,Hebrews,SHARED,NT_SHARED,True,True,303,303,303,0,0,303,303,0,0,0,303
HOS,Hosea,SHARED,OT_SHARED,True,True,197,197,197,0,0,197,197,0,0,0,197
ISA,Isaiah,SHARED,OT_SHARED,True,True,1292,1292,1292,0,0,1292,1292,0,0,0,1292
JAS,James,SHARED,NT_SHARED,True,True,108,108,108,0,0,108,108,0,0,0,108
JDG,Judges,SHARED,OT_SHARED,True,True,618,618,618,0,0,618,618,0,0,0,618
JER,Jeremiah,SHARED,OT_SHARED,True,True,1364,1364,1364,0,0,1364,1364,0,0,0,1364
JHN,John,SHARED,NT_SHARED,True,True,879,879,879,0,0,879,879,0,0,0,879
JOB,Job,SHARED,OT_SHARED,True,True,1070,1070,1070,0,0,1070,1070,0,0,0,1070
JOE,Joel,SHARED,OT_SHARED,True,True,73,73,73,0,0,73,73,0,0,0,73
JON,Jonah,SHARED,OT_SHARED,True,True,48,48,48,0,0,48,48,0,0,0,48
JOS,Joshua,SHARED,OT_SHARED,True,True,658,658,658,0,0,658,658,0,0,0,658
JUD,Jude,SHARED,NT_SHARED,True,True,25,25,25,0,0,25,25,0,0,0,25
LAM,Lamentations,SHARED,OT_SHARED,True,True,154,154,154,0,0,154,154,0,0,0,154
LEV,Leviticus,SHARED,OT_SHARED,True,True,859,859,859,0,0,859,859,0,0,0,859
LUK,Luke,SHARED,NT_SHARED,True,True,1151,1151,1151,0,0,1151,1151,0,0,0,1151
MAL,Malachi,SHARED,OT_SHARED,True,True,55,55,55,0,0,55,55,0,0,0,55
MAT,Matthew,SHARED,NT_SHARED,True,True,1071,1071,1071,0,0,1071,1071,0,0,0,1071
MIC,Micah,SHARED,OT_SHARED,True,True,105,105,105,0,0,105,105,0,0,0,105
MRK,Mark,SHARED,NT_SHARED,True,True,678,678,678,0,0,678,678,0,0,0,678
NAH,Nahum,SHARED,OT_SHARED,True,True,47,47,47,0,0,47,47,0,0,0,47
NEH,Nehemiah,SHARED,OT_SHARED,True,True,406,406,406,0,0,406,406,0,0,0,406
NUM,Numbers,SHARED,OT_SHARED,True,True,1288,1288,1288,0,0,1288,1288,0,0,0,1288
OBA,Obadiah,SHARED,OT_SHARED,True,True,21,21,21,0,0,21,21,0,0,0,21
PHM,Philemon,SHARED,NT_SHARED,True,True,25,25,25,0,0,25,25,0,0,0,25
PHP,Philippians,SHARED,NT_SHARED,True,True,104,104,104,0,0,104,104,0,0,0,104
PRO,Proverbs,SHARED,OT_SHARED,True,True,915,915,915,0,0,915,915,0,0,0,915
PSA,Psalms,SHARED,OT_SHARED,True,True,2461,2461,2461,0,0,2461,2461,0,0,0,2461
REV,Revelation,SHARED,NT_SHARED,True,True,404,404,404,0,0,404,404,0,0,0,404
ROM,Romans,SHARED,NT_SHARED,True,True,433,433,433,0,0,433,433,0,0,0,433
RUT,Ruth,SHARED,OT_SHARED,True,True,85,85,85,0,0,85,85,0,0,0,85
SNG,SongofSolomon,SHARED,OT_SHARED,True,True,117,117,117,0,0,117,117,0,0,0,117
TIT,Titus,SHARED,NT_SHARED,True,True,46,46,46,0,0,46,46,0,0,0,46
ZEC,Zechariah,SHARED,OT_SHARED,True,True,211,211,211,0,0,211,211,0,0,0,211
ZEP,Zephaniah,SHARED,OT_SHARED,True,True,53,53,53,0,0,53,53,0,0,0,53
