annotation_set,unit_key,work_code,work_name,representation,classification,drift_value,drift_quantile_bin,text_raw_left,text_raw_right,text_norm_left,text_norm_right,drift_r0,drift_r1,drift_r2,delta_representation_left,delta_representation_right,delta_value,category_labels
INLIER_BACKGROUND,1JN:3:19,1JN,1John,R0,INLIER,0.0777487037775527,Q3,"And hereby wee know that wee are of the trueth, and shall assure our hearts before him.","And hereby we know that we are of the truth, and shall assure our hearts before him.","and hereby wee know that wee are of the trueth, and shall assure our hearts before him.","and hereby we know that we are of the truth, and shall assure our hearts before him.",0.07774870377755272,0.07774870377755272,,R0,R1,0.0,
INLIER_BACKGROUND,1JN:4:9,1JN,1John,R0,INLIER,0.1058911089352808,Q4,"In this was manifested the loue of God towards vs, because that God sent his only begotten Sonne into the world, that we might liue through him.","In this was manifested the love of God toward us, because that God sent his only begotten Son into the world, that we might live through him.","in this was manifested the loue of god towards vs, because that god sent his only begotten sonne into the world, that we might liue through him.","in this was manifested the love of god toward us, because that god sent his only begotten son into the world, that we might live through him.",0.10589110893528086,0.10589110893528086,,R0,R1,0.0,
INLIER_BACKGROUND,1JN:5:17,1JN,1John,R0,INLIER,0.1431756553511654,Q4,"All vnrighteousnes is sinne, and there is a sinne not vnto death.",All unrighteousness is sin: and there is a sin not unto death.,"all vnrighteousnes is sinne, and there is a sinne not vnto death.",all unrighteousness is sin: and there is a sin not unto death.,0.1431756553511654,0.1431756553511654,,R0,R1,0.0,
INLIER_BACKGROUND,1KI:2:43,1KI,1Kings,R0,INLIER,0.0091289117844757,Q1,"Why then hast thou not kept the Oath of the Lord, and the commandement that I haue charged thee with?","Why then hast thou not kept the oath of the LORD, and the commandment that I have charged thee with?","why then hast thou not kept the oath of the lord, and the commandement that i haue charged thee with?","why then hast thou not kept the oath of the lord, and the commandment that i have charged thee with?",0.009128911784475724,0.009128911784475724,,R0,R1,0.0,
INLIER_BACKGROUND,1KI:3:24,1KI,1Kings,R0,INLIER,0.0134040115212551,Q1,"And the King said, Bring mee a sword. And they brought a sword before the king:","And the king said, Bring me a sword. And they brought a sword before the king.","and the king said, bring mee a sword. and they brought a sword before the king:","and the king said, bring me a sword. and they brought a sword before the king.",0.013404011521255144,0.013404011521255144,,R0,R1,0.0,
INLIER_BACKGROUND,1KI:13:3,1KI,1Kings,R0,INLIER,0.0348063027423747,Q2,"And he gaue a signe the same day, saying, This is the signe which the Lord hath spoken: Behold, the altar shall be rent, and the ashes that are vpon it, shalbe powred out.","And he gave a sign the same day, saying, This is the sign which the LORD hath spoken; Behold, the altar shall be rent, and the ashes that are upon it shall be poured out.","and he gaue a signe the same day, saying, this is the signe which the lord hath spoken: behold, the altar shall be rent, and the ashes that are vpon it, shalbe powred out.","and he gave a sign the same day, saying, this is the sign which the lord hath spoken; behold, the altar shall be rent, and the ashes that are upon it shall be poured out.",0.03480630274237473,0.03480630274237473,,R0,R1,0.0,
INLIER_BACKGROUND,1KI:6:21,1KI,1Kings,R0,INLIER,0.0493033937445737,Q2,"So Solomon ouerlayd the house within with pure golde: and he made a partition, by the chaines of golde before the Oracle, and he ouerlaid it with gold.",So Solomon overlaid the house within with pure gold: and he made a partition by the chains of gold before the oracle; and he overlaid it with gold.,"so solomon ouerlayd the house within with pure golde: and he made a partition, by the chaines of golde before the oracle, and he ouerlaid it with gold.",so solomon overlaid the house within with pure gold: and he made a partition by the chains of gold before the oracle; and he overlaid it with gold.,0.04930339374457371,0.04930339374457371,,R0,R1,0.0,
INLIER_BACKGROUND,1KI:1:49,1KI,1Kings,R0,INLIER,0.0795097755634072,Q3,"And all the guests that were with Adoniiah, were afraid, and rose vp, and went euery man his way.","And all the guests that were with Adonijah were afraid, and rose up, and went every man his way.","and all the guests that were with adoniiah, were afraid, and rose vp, and went euery man his way.","and all the guests that were with adonijah were afraid, and rose up, and went every man his way.",0.07950977556340721,0.07950977556340721,,R0,R1,0.0,
INLIER_BACKGROUND,1KI:4:27,1KI,1Kings,R0,INLIER,0.0578699337241377,Q3,"And those officers prouided victuall for king Solomon, and for all that came vnto king Solomons table, euery man in his moneth: they lacked nothing.","And those officers provided victual for king Solomon, and for all that came unto king Solomon’s table, every man in his month: they lacked nothing.","and those officers prouided victuall for king solomon, and for all that came vnto king solomons table, euery man in his moneth: they lacked nothing.","and those officers provided victual for king solomon, and for all that came unto king solomon’s table, every man in his month: they lacked nothing.",0.057869933724137734,0.057869933724137734,,R0,R1,0.0,
INLIER_BACKGROUND,1KI:18:46,1KI,1Kings,R0,INLIER,0.1241237442575936,Q4,"And the hand of the Lord was on Eliiah; and hee girded vp his loynes, and ranne before Ahab, to the entrance of Iezreel.","And the hand of the LORD was on Elijah; and he girded up his loins, and ran before Ahab to the entrance of Jezreel.","and the hand of the lord was on eliiah; and hee girded vp his loynes, and ranne before ahab, to the entrance of iezreel.","and the hand of the lord was on elijah; and he girded up his loins, and ran before ahab to the entrance of jezreel.",0.12412374425759365,0.12412374425759365,,R0,R1,0.0,
