representation,null_model,scope_type,scope_name,n_observed,iterations_used,observed_median,null_median,null_mean,null_std,null_min,null_max,p_value_perm
R0,WORK,WORK,ACT,1007,5000,0.054692006677398486,0.48864179849624634,0.4886224531888962,0.0029721133817966175,0.47841811180114746,0.5000501275062561,0.0001999600079984003
R0,WORK,WORK,AMO,146,5000,0.05849756095268982,0.4526316672563553,0.4525401919603348,0.007905377623178746,0.42309802770614624,0.48959505558013916,0.0001999600079984003
R0,WORK,WORK,COL,95,5000,0.048019912270228504,0.45360004901885986,0.45371362128257753,0.009646596629654699,0.4178236126899719,0.4917808771133423,0.0001999600079984003
R0,WORK,WORK,DAN,357,5000,0.049481360093336146,0.4716780185699463,0.47167564438581466,0.004578619241901706,0.4543890953063965,0.4890063405036926,0.0001999600079984003
R0,WORK,WORK,DEU,959,5000,0.0522215391599139,0.45204585790634155,0.4520948777079582,0.0030614595388772617,0.4405670166015625,0.462532639503479,0.0001999600079984003
R0,WORK,WORK,ECC,222,5000,0.07150933614493132,0.4998828321695328,0.49995269328951836,0.005988546412646934,0.4747924208641052,0.5243242979049683,0.0001999600079984003
R0,WORK,WORK,EPH,155,5000,0.05743596089950953,0.44462329149246216,0.44456849316358565,0.007026506772760136,0.4215582609176636,0.4711846113204956,0.0001999600079984003
R0,WORK,WORK,EST,167,5000,0.052476763686392425,0.4382634460926056,0.43819012916088107,0.007763828011182305,0.4073030948638916,0.4689481258392334,0.0001999600079984003
R0,WORK,WORK,EXO,1213,5000,0.05166435828552185,0.4951075315475464,0.4950202787876129,0.0032153623542394384,0.48263317346572876,0.5059447288513184,0.0001999600079984003
R0,WORK,WORK,EZE,1273,5000,0.05226969370388279,0.486453652381897,0.48647858254909515,0.0030743213000784856,0.4760175943374634,0.498457670211792,0.0001999600079984003
R0,WORK,WORK,EZR,280,5000,0.06984769505440602,0.46126215159893036,0.4611374649465084,0.006181949433368368,0.4404461979866028,0.48409897089004517,0.0001999600079984003
R0,WORK,WORK,GAL,149,5000,0.05863426824524842,0.4809844493865967,0.48104316881895065,0.007630388501955825,0.45443689823150635,0.5063884258270264,0.0001999600079984003
R0,WORK,WORK,GEN,1533,5000,0.06608136346918425,0.48884350061416626,0.48887470873594285,0.0022463417314282927,0.4809221029281616,0.4969693422317505,0.0001999600079984003
R0,WORK,WORK,HAB,56,5000,0.05503171687069841,0.4849061965942383,0.4851641903936863,0.012325443429670886,0.43216294050216675,0.5343220233917236,0.0001999600079984003
R0,WORK,WORK,HAG,38,5000,0.07046004938006295,0.45454370975494385,0.4562092992901802,0.020183796342416647,0.38780465722084045,0.5226494073867798,0.0001999600079984003
