representation,null_model,scope_type,scope_name,median_null,median_observed,sgi,sgi_norm
R0,WORK,WORK,MAL,0.41709232330322266,0.07516091016963333,0.3419314131335893,0.8197979057145294
R0,WORK,WORK,MAT,0.5023057162761688,0.06780675145470894,0.4344989648214599,0.8650089989869265
R0,WORK,WORK,MIC,0.463545560836792,0.05799056263466218,0.4055549982021298,0.8748978147261778
R0,WORK,WORK,MRK,0.5048363208770752,0.06327463314875148,0.4415616877283237,0.8746630728969311
R0,WORK,WORK,NAH,0.5114416480064392,0.05303248785635262,0.4584091601500866,0.8963078426188613
R0,WORK,WORK,NEH,0.47948087751865387,0.06496140356040359,0.4145194739582503,0.8645172172525769
R0,WORK,WORK,NUM,0.4792025536298752,0.05458779219694121,0.424614761432934,0.8860861825892866
R0,WORK,WORK,OBA,0.4382086992263794,0.07561436731644167,0.36259433190993773,0.8274466767776805
R0,WORK,WORK,PHM,0.3993467688560486,0.06737675955975486,0.3319700092962937,0.8312825724050319
R0,WORK,WORK,PHP,0.4359918385744095,0.04855786026805364,0.38743397830635584,0.8886266760707576
R0,WORK,WORK,PRO,0.5025911331176758,0.0544721321861531,0.4481190009315227,0.8916174031001078
R0,WORK,WORK,PSA,0.4848010540008545,0.053897785221679095,0.4309032687791754,0.8888249421553772
R0,WORK,WORK,REV,0.49870190024375916,0.05078898631683265,0.4479129139269265,0.8981576242400368
R0,WORK,WORK,ROM,0.4643797278404236,0.055315436203204116,0.40906429163721947,0.8808831805375184
R0,WORK,WORK,RUT,0.44673603773117065,0.05115913343034306,0.3955769043008276,0.8854824121864806
R0,WORK,WORK,SNG,0.5150631666183472,0.06793377033221648,0.4471293962861307,0.8681059436297175
R0,WORK,WORK,TIT,0.46011847257614136,0.052521885669503,0.40759658690663836,0.8858513865452086
R0,WORK,WORK,ZEC,0.4655764102935791,0.061953613495860926,0.4036227967977182,0.8669313733984186
R0,WORK,WORK,ZEP,0.4574786424636841,0.057799863869099966,0.3996787785945841,0.8736556015864975
R0,WORK_GROUP,WORK_GROUP,NT_SHARED,0.5007344484329224,0.060094775867548966,0.4406396725653734,0.8799867353731722
R0,WORK_GROUP,WORK_GROUP,OT_SHARED,0.5039060413837433,0.05886522499131441,0.4450408163924289,0.8831821408021454
R0,CANON,CANON,ALL_SHARED,0.5083895623683929,0.05915852562468393,0.449231036743709,0.88363544414821
R1,WORK,WORK,1CH,0.45014263689517975,0.0819292113116305,0.36821342558354925,0.8179927769634749
R1,WORK,WORK,1CO,0.494985967874527,0.04792351691674468,0.4470624509577823,0.903182069741232
R1,WORK,WORK,1JN,0.4197806119918823,0.08074298700686466,0.33903762498501766,0.8076543206134873
R1,WORK,WORK,1KI,0.4691760987043381,0.06070674127055653,0.40846935743378154,0.8706099022558856
R1,WORK,WORK,1PE,0.43221157789230347,0.05511734887761188,0.3770942290146916,0.8724760008827303
R1,WORK,WORK,1SA,0.45049092173576355,0.0654429415941209,0.38504798014164265,0.8547297216512909
R1,WORK,WORK,1TH,0.43967175483703613,0.06958958150512606,0.37008217333191007,0.841723784301497
R1,WORK,WORK,1TI,0.47609543800354004,0.04883181383949409,0.42726362416404595,0.8974327205396767
R1,WORK,WORK,2CH,0.44784238934516907,0.06473665559904501,0.38310573374612406,0.8554476817308376
R1,WORK,WORK,2CO,0.4636678099632263,0.05616683804415867,0.40750097191906764,0.8788640556077997
