representation,null_model,scope_type,scope_name,n_observed,n_null,mwu_stat,mwu_p,ks_stat,ks_p,cliffs_delta,cliffs_delta_interpretation,mwu_p_fdr,ks_p_fdr
R1,WORK,WORK,2SA,695,100000,10829.0,0.0,0.99079345323741,0.0,-0.9996883741007194,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,2TH,47,100000,3551.0,1.0312757761086184e-32,0.9766134042553192,4.390150412248839e-77,-0.9984889361702128,large; observed_lower_than_null,1.1144431774077005e-32,4.595938712823004e-77
R1,WORK,WORK,2TI,83,100000,43874.0,3.294797721349576e-55,0.9879518072289156,1.0412339700764474e-159,-0.9894279518072288,large; observed_lower_than_null,4.090668792265558e-55,1.2239065964056487e-159
R1,WORK,WORK,ACT,1007,100000,6792.0,0.0,0.994650854021847,0.0,-0.9998651042701092,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,AMO,146,100000,4053.0,2.5959748162417874e-97,0.98984,2.03007160206224e-291,-0.999444794520548,large; observed_lower_than_null,4.0924779456047003e-97,2.8336416112118767e-291
R1,WORK,WORK,COL,95,100000,6549.0,5.194601959591004e-64,0.9818536842105264,7.690137608307237e-166,-0.9986212631578948,large; observed_lower_than_null,6.824281005737201e-64,9.367985813756089e-166
R1,WORK,WORK,DAN,357,100000,3944.0,2.8431783054060135e-234,0.9913988795518208,0.0,-0.9997790476190476,large; observed_lower_than_null,5.95290457694384e-234,0.0
R1,WORK,WORK,DEU,959,100000,118577.0,0.0,0.9871052241918664,0.0,-0.9975270698644422,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,ECC,222,100000,1799.0,8.661257027374924e-147,0.99729,0.0,-0.999837927927928,large; observed_lower_than_null,1.6119561689836663e-146,0.0
R1,WORK,WORK,EPH,155,100000,19040.0,8.835497597769702e-103,0.9712935483870968,1.9402357424983428e-239,-0.9975432258064516,large; observed_lower_than_null,1.4967024793836902e-102,2.574174153413643e-239
R1,WORK,WORK,EST,167,100000,5107.0,5.9604086627919625e-111,0.99286,0.0,-0.999388383233533,large; observed_lower_than_null,1.0239676420693884e-110,0.0
R1,WORK,WORK,EXO,1213,100000,27674.0,0.0,0.9907891838417148,0.0,-0.9995437098103874,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,EZE,1273,100000,51919.0,0.0,0.9945489080911232,0.0,-0.9991843047918304,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,EZR,280,100000,35135.0,1.442863444893058e-183,0.9709428571428572,0.0,-0.9974903571428572,large; observed_lower_than_null,2.885726889786116e-183,0.0
R1,WORK,WORK,GAL,149,100000,2096.0,2.57239910673899e-99,0.9898185906040268,2.913447665024013e-297,-0.9997186577181209,large; observed_lower_than_null,4.107039081632661e-99,4.2434998599262795e-297
R1,WORK,WORK,GEN,1533,100000,62975.0,0.0,0.9879845270711024,0.0,-0.9991784083496412,large; observed_lower_than_null,0.0,0.0
R1,WORK,WORK,HAB,56,100000,0.0,1.0614134681420704e-38,1.0,0.0,-1.0,large; observed_lower_than_null,1.2476263572898019e-38,0.0
