scope_type,scope_name,representation,n,median_drift,mad_drift,p95_drift,p99_drift,threshold_primary,threshold_secondary,threshold_source,small_sample_flag,mad_zero_flag,percentile_method
WORK,JER,R0,1364,0.0621951622231654,0.0308748247543564,0.1595710794486916,0.203825573325914,0.203825573325914,0.1595710794486916,WORK,False,False,HF_TYPE_7
WORK,JER,R1,1364,0.0621951622231654,0.0308748247543564,0.1595710794486916,0.203825573325914,0.203825573325914,0.1595710794486916,WORK,False,False,HF_TYPE_7
WORK,JHN,R0,879,0.0679604219769043,0.0353426633556528,0.1962180196842647,0.2799187388240086,0.2799187388240086,0.1962180196842647,WORK,False,False,HF_TYPE_7
WORK,JHN,R1,879,0.0679604219769043,0.0353426633556528,0.1962180196842647,0.2799187388240086,0.2799187388240086,0.1962180196842647,WORK,False,False,HF_TYPE_7
WORK,JOB,R0,1070,0.0515590458616905,0.0319315161274035,0.1879247125578857,0.2593421210617336,0.2593421210617336,0.1879247125578857,WORK,False,False,HF_TYPE_7
WORK,JOB,R1,1070,0.0515590458616905,0.0319315161274035,0.1879247125578857,0.2593421210617336,0.2593421210617336,0.1879247125578857,WORK,False,False,HF_TYPE_7
WORK,JOE,R0,73,0.0581931163020924,0.0298686635944267,0.1475193186155204,0.1953566744675042,0.1953566744675042,0.1475193186155204,WORK,False,False,HF_TYPE_7
WORK,JOE,R1,73,0.0581931163020924,0.0298686635944267,0.1475193186155204,0.1953566744675042,0.1953566744675042,0.1475193186155204,WORK,False,False,HF_TYPE_7
WORK,JON,R0,48,0.1001872033039009,0.0551452026604405,0.2380007750006767,0.2712075489700537,0.2656228112852224,0.23805020995500215,WORK,True,False,HF_TYPE_7
WORK,JON,R1,48,0.1001872033039009,0.0551452026604405,0.2380007750006767,0.2712075489700537,0.2656228112852224,0.23805020995500215,WORK,True,False,HF_TYPE_7
WORK,JOS,R0,658,0.0680885098018254,0.0386196512553253,0.2047369488266913,0.2547743068240014,0.2547743068240014,0.2047369488266913,WORK,False,False,HF_TYPE_7
WORK,JOS,R1,658,0.0680885098018254,0.0386196512553253,0.2047369488266913,0.2547743068240014,0.2547743068240014,0.2047369488266913,WORK,False,False,HF_TYPE_7
WORK,JUD,R0,25,0.0645726437189985,0.0214914020050873,0.1348018158384863,0.1812047156347025,0.1290468497342604,0.11830114873171674,WORK,True,False,HF_TYPE_7
WORK,JUD,R1,25,0.0645726437189985,0.0214914020050873,0.1348018158384863,0.1812047156347025,0.1290468497342604,0.11830114873171674,WORK,True,False,HF_TYPE_7
WORK,LAM,R0,154,0.0549752501082309,0.0352429274294708,0.1679356922785318,0.2938539035754291,0.2938539035754291,0.1679356922785318,WORK,False,False,HF_TYPE_7
WORK,LAM,R1,154,0.0549752501082309,0.0352429274294708,0.1679356922785318,0.2938539035754291,0.2938539035754291,0.1679356922785318,WORK,False,False,HF_TYPE_7
WORK,LEV,R0,859,0.0497181173325699,0.0247014500098197,0.1520578598094974,0.2536937138059426,0.2536937138059426,0.1520578598094974,WORK,False,False,HF_TYPE_7
WORK,LEV,R1,859,0.0497181173325699,0.0247014500098197,0.1520578598094974,0.2536937138059426,0.2536937138059426,0.1520578598094974,WORK,False,False,HF_TYPE_7
WORK,LUK,R0,1151,0.0650095733311313,0.0372919853459725,0.1904093970791806,0.2425750004264786,0.2425750004264786,0.1904093970791806,WORK,False,False,HF_TYPE_7
WORK,LUK,R1,1151,0.0650095733311313,0.0372919853459725,0.1904093970791806,0.2425750004264786,0.2425750004264786,0.1904093970791806,WORK,False,False,HF_TYPE_7
WORK,MAL,R0,55,0.0751609101696333,0.0321192270397397,0.1622817772666177,0.2285586825897554,0.2285586825897554,0.1622817772666177,WORK,False,False,HF_TYPE_7
WORK,MAL,R1,55,0.0751609101696333,0.0321192270397397,0.1622817772666177,0.2285586825897554,0.2285586825897554,0.1622817772666177,WORK,False,False,HF_TYPE_7
WORK,MAT,R0,1071,0.0678067514547089,0.0387703507250569,0.1896752365333116,0.2574919331800241,0.2574919331800241,0.1896752365333116,WORK,False,False,HF_TYPE_7
WORK,MAT,R1,1071,0.0678067514547089,0.0387703507250569,0.1896752365333116,0.2574919331800241,0.2574919331800241,0.1896752365333116,WORK,False,False,HF_TYPE_7
WORK,MIC,R0,105,0.0579905626346621,0.029719920992741,0.1560606344008212,0.1769578990912698,0.1769578990912698,0.1560606344008212,WORK,False,False,HF_TYPE_7
WORK,MIC,R1,105,0.0579905626346621,0.029719920992741,0.1560606344008212,0.1769578990912698,0.1769578990912698,0.1560606344008212,WORK,False,False,HF_TYPE_7
WORK,MRK,R0,678,0.0632746331487514,0.036454940788317,0.180716099125319,0.2485395579355932,0.2485395579355932,0.180716099125319,WORK,False,False,HF_TYPE_7
WORK,MRK,R1,678,0.0632746331487514,0.036454940788317,0.180716099125319,0.2485395579355932,0.2485395579355932,0.180716099125319,WORK,False,False,HF_TYPE_7
WORK,NAH,R0,47,0.0530324878563526,0.0240051757209969,0.1502378091804938,0.1933342428400184,0.12504801501934332,0.11304542715884486,WORK,True,False,HF_TYPE_7
WORK,NAH,R1,47,0.0530324878563526,0.0240051757209969,0.1502378091804938,0.1933342428400184,0.12504801501934332,0.11304542715884486,WORK,True,False,HF_TYPE_7
WORK,NEH,R0,406,0.0649614035604035,0.0324069744996371,0.1712008590080952,0.249097416043593,0.249097416043593,0.1712008590080952,WORK,False,False,HF_TYPE_7
WORK,NEH,R1,406,0.0649614035604035,0.0324069744996371,0.1712008590080952,0.249097416043593,0.249097416043593,0.1712008590080952,WORK,False,False,HF_TYPE_7
WORK,NUM,R0,1288,0.0545877921969412,0.0291542272514704,0.1521304504522337,0.2060272335177108,0.2060272335177108,0.1521304504522337,WORK,False,False,HF_TYPE_7
WORK,NUM,R1,1288,0.0545877921969412,0.0291542272514704,0.1521304504522337,0.2060272335177108,0.2060272335177108,0.1521304504522337,WORK,False,False,HF_TYPE_7
WORK,OBA,R0,21,0.0756143673164416,0.0266255905015332,0.181286665764272,0.1901836706056468,0.1554911388210412,0.1421783435702746,WORK,True,False,HF_TYPE_7
WORK,OBA,R1,21,0.0756143673164416,0.0266255905015332,0.181286665764272,0.1901836706056468,0.1554911388210412,0.1421783435702746,WORK,True,False,HF_TYPE_7
