unit_key,work_code,division_level_1,division_level_2,drift_r0,drift_r1,drift_r2,delta_representation_left,delta_representation_right,delta_value,text_raw_left,text_raw_right,text_norm_left,text_norm_right,drift_label_r0,drift_label_r1,drift_label_r2,residual_class,character_diff_summary,token_diff_summary,phrase_diff_summary,category_labels
ROM:16:27,ROM,16,27,0.3068300332650655,0.3068300332650655,,R0,R1,0.0,"To God, onely wise, bee glorie through Iesus Christ, for euer. Amen.Written to the Romanes from Corinthus, and sent by Phebe seruant of the Church at Cenchrea.","To God only wise, be glory through Jesus Christ for ever. Amen.","to god, onely wise, bee glorie through iesus christ, for euer. amen.written to the romanes from corinthus, and sent by phebe seruant of the church at cenchrea.","to god only wise, be glory through jesus christ for ever. amen.",STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:3, delete:5, insert:0}; examples=delete: [,] -> [] | delete: [e] -> [] | delete: [e] -> [] | replace: [i e] -> [y] | replace: [I] -> [J] | delete: [,] -> [] | replace: [u] -> [v] | delete: [W r i t t e n   t o   t h e   R o m a n e s   f r o m   C o r i n t h u s ,   a n d   s e n t   b y   P h e b e   s e r u a n t   o f   t h e   C h u r c h   a t   C e n c h r e a .] -> []","ops={replace:4, delete:0, insert:0}; examples=replace: [God, onely] -> [God only] | replace: [bee glorie] -> [be glory] | replace: [Iesus Christ,] -> [Jesus Christ] | replace: [euer. Amen.Written to the Romanes from Corinthus, and sent by Phebe seruant of the Church at Cenchrea.] -> [ever. Amen.]","ops={replace:1, delete:1, insert:0}; examples=replace: [To God onely wise bee glorie through Iesus Christ for euer] -> [To God only wise be glory through Jesus Christ for ever] | delete: [Written to the Romanes from Corinthus and sent by Phebe seruant of the Church at Cenchrea] -> []",
2KI:11:21,2KI,11,21,0.30596541958752443,0.30596541958752443,,R0,R1,0.0,Seuen yeeres old was Iehoash when he began to reigne.,Seven years old was Jehoash when he began to reign.,seuen yeeres old was iehoash when he began to reigne.,seven years old was jehoash when he began to reign.,STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:3, delete:2, insert:0}; examples=replace: [u] -> [v] | replace: [e] -> [a] | delete: [e] -> [] | replace: [I] -> [J] | delete: [e] -> []","ops={replace:3, delete:0, insert:0}; examples=replace: [Seuen yeeres] -> [Seven years] | replace: [Iehoash] -> [Jehoash] | replace: [reigne.] -> [reign.]","ops={replace:1, delete:0, insert:0}; examples=replace: [Seuen yeeres old was Iehoash when he began to reigne] -> [Seven years old was Jehoash when he began to reign]",
1CH:11:7,1CH,11,7,0.3057480658140206,0.3057480658140206,,R0,R1,0.0,And Dauid dwelt in the castell: therefore they called it the citie of Dauid.,And David dwelt in the castle; therefore they called it the city of David.,and dauid dwelt in the castell: therefore they called it the citie of dauid.,and david dwelt in the castle; therefore they called it the city of david.,STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:4, delete:0, insert:1}; examples=replace: [u] -> [v] | insert: [] -> [l] | replace: [l l :] -> [;] | replace: [i e] -> [y] | replace: [u] -> [v]","ops={replace:4, delete:0, insert:0}; examples=replace: [Dauid] -> [David] | replace: [castell:] -> [castle;] | replace: [citie] -> [city] | replace: [Dauid.] -> [David.]","ops={replace:1, delete:0, insert:0}; examples=replace: [And Dauid dwelt in the castell therefore they called it the citie of Dauid] -> [And David dwelt in the castle therefore they called it the city of David]",
1CO:16:14,1CO,16,14,0.30568741244104547,0.30568741244104547,,R0,R1,0.0,Let all your things be done with charitie.,Let all your things be done with charity.,let all your things be done with charitie.,let all your things be done with charity.,STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:1, delete:0, insert:0}; examples=replace: [i e] -> [y]","ops={replace:1, delete:0, insert:0}; examples=replace: [charitie.] -> [charity.]","ops={replace:1, delete:0, insert:0}; examples=replace: [Let all your things be done with charitie] -> [Let all your things be done with charity]",
JER:33:17,JER,33,17,0.3042928000977183,0.3042928000977183,,R0,R1,0.0,¶ For thus saith the Lord; Dauid shall neuer want a man to sit vpon the throne of the house of Israel.,For thus saith the LORD; David shall never want a man to sit upon the throne of the house of Israel;,¶ for thus saith the lord; dauid shall neuer want a man to sit vpon the throne of the house of israel.,for thus saith the lord; david shall never want a man to sit upon the throne of the house of israel;,STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:5, delete:1, insert:0}; examples=delete: [¶  ] -> [] | replace: [o r d] -> [O R D] | replace: [u] -> [v] | replace: [u] -> [v] | replace: [v] -> [u] | replace: [.] -> [;]","ops={replace:4, delete:1, insert:0}; examples=delete: [¶] -> [] | replace: [Lord; Dauid] -> [LORD; David] | replace: [neuer] -> [never] | replace: [vpon] -> [upon] | replace: [Israel.] -> [Israel;]","ops={replace:1, delete:0, insert:0}; examples=replace: [¶ For thus saith the Lord Dauid shall neuer want a man to sit vpon the throne of the house of Israel] -> [For thus saith the LORD David shall never want a man to sit upon the throne of the house of Israel]",
NEH:7:36,NEH,7,36,0.3031543197704123,0.3031543197704123,,R0,R1,0.0,"The children of Iericho, three hundred, fourtie and fiue.","The children of Jericho, three hundred forty and five.","the children of iericho, three hundred, fourtie and fiue.","the children of jericho, three hundred forty and five.",STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:3, delete:2, insert:0}; examples=replace: [I] -> [J] | delete: [,] -> [] | delete: [u] -> [] | replace: [i e] -> [y] | replace: [u] -> [v]","ops={replace:3, delete:0, insert:0}; examples=replace: [Iericho,] -> [Jericho,] | replace: [hundred, fourtie] -> [hundred forty] | replace: [fiue.] -> [five.]","ops={replace:1, delete:0, insert:0}; examples=replace: [The children of Iericho three hundred fourtie and fiue] -> [The children of Jericho three hundred forty and five]",
LUK:9:51,LUK,9,51,0.3025274135802152,0.3025274135802152,,R0,R1,0.0,"¶ And it came to passe, when the time was come that he should bee receiued vp, he stedfastly set his face to goe to Hierusalem,","And it came to pass, when the time was come that he should be received up, he stedfastly set his face to go to Jerusalem,","¶ and it came to passe, when the time was come that he should bee receiued vp, he stedfastly set his face to goe to hierusalem,","and it came to pass, when the time was come that he should be received up, he stedfastly set his face to go to jerusalem,",STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:3, delete:4, insert:0}; examples=delete: [¶  ] -> [] | delete: [e] -> [] | delete: [e] -> [] | replace: [u] -> [v] | replace: [v] -> [u] | delete: [e] -> [] | replace: [H i] -> [J]","ops={replace:4, delete:1, insert:0}; examples=delete: [¶] -> [] | replace: [passe,] -> [pass,] | replace: [bee receiued vp,] -> [be received up,] | replace: [goe] -> [go] | replace: [Hierusalem,] -> [Jerusalem,]","ops={replace:1, delete:0, insert:0}; examples=replace: [¶ And it came to passe when the time was come that he should bee receiued vp he stedfastly set his face to goe to Hierusalem] -> [And it came to pass when the time was come that he should be received up he stedfastly set his face to go to Jerusalem]",
JOB:30:4,JOB,30,4,0.30192940979575134,0.30192940979575134,,R0,R1,0.0,"Who cut vp mallowes by the bushes, and Iuniper rootes for their meate.","Who cut up mallows by the bushes, and juniper roots for their meat.","who cut vp mallowes by the bushes, and iuniper rootes for their meate.","who cut up mallows by the bushes, and juniper roots for their meat.",STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:2, delete:3, insert:0}; examples=replace: [v] -> [u] | delete: [e] -> [] | replace: [I] -> [j] | delete: [e] -> [] | delete: [e] -> []","ops={replace:3, delete:0, insert:0}; examples=replace: [vp mallowes] -> [up mallows] | replace: [Iuniper rootes] -> [juniper roots] | replace: [meate.] -> [meat.]","ops={replace:1, delete:0, insert:0}; examples=replace: [Who cut vp mallowes by the bushes and Iuniper rootes for their meate] -> [Who cut up mallows by the bushes and juniper roots for their meat]",
EPH:5:7,EPH,5,7,0.3012893965485023,0.3012893965485023,,R0,R1,0.0,Bee not yee therefore partakers with them.,Be not ye therefore partakers with them.,bee not yee therefore partakers with them.,be not ye therefore partakers with them.,STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:0, delete:2, insert:0}; examples=delete: [e] -> [] | delete: [e] -> []","ops={replace:2, delete:0, insert:0}; examples=replace: [Bee] -> [Be] | replace: [yee] -> [ye]","ops={replace:1, delete:0, insert:0}; examples=replace: [Bee not yee therefore partakers with them] -> [Be not ye therefore partakers with them]",
PRO:4:7,PRO,4,7,0.3010664105021882,0.3010664105021882,,R0,R1,0.0,"Wisedome is the principall thing, therefore get wisedome: and with all thy getting, get vnderstanding.",Wisdom is the principal thing; therefore get wisdom: and with all thy getting get understanding.,"wisedome is the principall thing, therefore get wisedome: and with all thy getting, get vnderstanding.",wisdom is the principal thing; therefore get wisdom: and with all thy getting get understanding.,STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:2, delete:6, insert:0}; examples=delete: [e] -> [] | delete: [e] -> [] | delete: [l] -> [] | replace: [,] -> [;] | delete: [e] -> [] | delete: [e] -> [] | delete: [,] -> [] | replace: [v] -> [u]","ops={replace:5, delete:0, insert:0}; examples=replace: [Wisedome] -> [Wisdom] | replace: [principall thing,] -> [principal thing;] | replace: [wisedome:] -> [wisdom:] | replace: [getting,] -> [getting] | replace: [vnderstanding.] -> [understanding.]","ops={replace:1, delete:0, insert:0}; examples=replace: [Wisedome is the principall thing therefore get wisedome and with all thy getting get vnderstanding] -> [Wisdom is the principal thing therefore get wisdom and with all thy getting get understanding]",
EZR:2:34,EZR,2,34,0.3005829485998124,0.3005829485998124,,R0,R1,0.0,"The children of Iericho, three hundred fourtie and fiue.","The children of Jericho, three hundred forty and five.","the children of iericho, three hundred fourtie and fiue.","the children of jericho, three hundred forty and five.",STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:3, delete:1, insert:0}; examples=replace: [I] -> [J] | delete: [u] -> [] | replace: [i e] -> [y] | replace: [u] -> [v]","ops={replace:3, delete:0, insert:0}; examples=replace: [Iericho,] -> [Jericho,] | replace: [fourtie] -> [forty] | replace: [fiue.] -> [five.]","ops={replace:1, delete:0, insert:0}; examples=replace: [The children of Iericho three hundred fourtie and fiue] -> [The children of Jericho three hundred forty and five]",
PSA:119:93,PSA,119,93,0.30045682956537834,0.30045682956537834,,R0,R1,0.0,I will neuer forget thy precepts: for with them thou hast quickened me.,I will never forget thy precepts: for with them thou hast quickened me.,i will neuer forget thy precepts: for with them thou hast quickened me.,i will never forget thy precepts: for with them thou hast quickened me.,STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:1, delete:0, insert:0}; examples=replace: [u] -> [v]","ops={replace:1, delete:0, insert:0}; examples=replace: [neuer] -> [never]","ops={replace:1, delete:0, insert:0}; examples=replace: [I will neuer forget thy precepts] -> [I will never forget thy precepts]",
JOS:3:11,JOS,3,11,0.3001837730860344,0.3001837730860344,,R0,R1,0.0,"Behold, the Arke of the Couenant, euen the Lord of all the earth, passeth ouer before you, into Iordan.","Behold, the ark of the covenant of the LORD of all the earth passeth over before you into Jordan.","behold, the arke of the couenant, euen the lord of all the earth, passeth ouer before you, into iordan.","behold, the ark of the covenant of the lord of all the earth passeth over before you into jordan.",STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:7, delete:4, insert:0}; examples=replace: [A] -> [a] | delete: [e] -> [] | replace: [C] -> [c] | replace: [u] -> [v] | delete: [,] -> [] | replace: [e u e n] -> [o f] | replace: [o r d] -> [O R D] | delete: [,] -> []","ops={replace:7, delete:0, insert:0}; examples=replace: [Arke] -> [ark] | replace: [Couenant, euen] -> [covenant of] | replace: [Lord] -> [LORD] | replace: [earth,] -> [earth] | replace: [ouer] -> [over] | replace: [you,] -> [you] | replace: [Iordan.] -> [Jordan.]","ops={replace:1, delete:0, insert:0}; examples=replace: [the Arke of the Couenant euen the Lord of all the earth passeth ouer before you into Iordan] -> [the ark of the covenant of the LORD of all the earth passeth over before you into Jordan]",
DEU:33:25,DEU,33,25,0.2998167183550807,0.2998167183550807,,R0,R1,0.0,"Thy shooes shall bee yron and brasse, and as thy dayes, so shall thy strength bee.","Thy shoes shall be iron and brass; and as thy days, so shall thy strength be.","thy shooes shall bee yron and brasse, and as thy dayes, so shall thy strength bee.","thy shoes shall be iron and brass; and as thy days, so shall thy strength be.",STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:2, delete:4, insert:0}; examples=delete: [o] -> [] | delete: [e] -> [] | replace: [y] -> [i] | replace: [e ,] -> [;] | delete: [e] -> [] | delete: [e] -> []","ops={replace:5, delete:0, insert:0}; examples=replace: [shooes] -> [shoes] | replace: [bee yron] -> [be iron] | replace: [brasse,] -> [brass;] | replace: [dayes,] -> [days,] | replace: [bee.] -> [be.]","ops={replace:1, delete:0, insert:0}; examples=replace: [Thy shooes shall bee yron and brasse and as thy dayes so shall thy strength bee] -> [Thy shoes shall be iron and brass and as thy days so shall thy strength be]",
NUM:19:15,NUM,19,15,0.29955118203117104,0.29955118203117104,,R0,R1,0.0,"And euery open vessel which hath no couering bound vpon it, is vncleane.","And every open vessel, which hath no covering bound upon it, is unclean.","and euery open vessel which hath no couering bound vpon it, is vncleane.","and every open vessel, which hath no covering bound upon it, is unclean.",STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:4, delete:1, insert:1}; examples=replace: [u] -> [v] | insert: [] -> [,] | replace: [u] -> [v] | replace: [v] -> [u] | replace: [v] -> [u] | delete: [e] -> []","ops={replace:5, delete:0, insert:0}; examples=replace: [euery] -> [every] | replace: [vessel] -> [vessel,] | replace: [couering] -> [covering] | replace: [vpon] -> [upon] | replace: [vncleane.] -> [unclean.]","ops={replace:1, delete:0, insert:0}; examples=replace: [And euery open vessel which hath no couering bound vpon it is vncleane] -> [And every open vessel which hath no covering bound upon it is unclean]",
EPH:4:8,EPH,4,8,0.29900742533500335,0.29900742533500335,,R0,R1,0.0,"Wherefore he saith: When he ascended vp on high, he led captiuitie captiue, and gaue gifts vnto men.","Wherefore he saith, When he ascended up on high, he led captivity captive, and gave gifts unto men.","wherefore he saith: when he ascended vp on high, he led captiuitie captiue, and gaue gifts vnto men.","wherefore he saith, when he ascended up on high, he led captivity captive, and gave gifts unto men.",REVIEW_CANDIDATE,REVIEW_CANDIDATE,,normalization_insensitive,"ops={replace:7, delete:0, insert:0}; examples=replace: [:] -> [,] | replace: [v] -> [u] | replace: [u] -> [v] | replace: [i e] -> [y] | replace: [u] -> [v] | replace: [u] -> [v] | replace: [v] -> [u]","ops={replace:5, delete:0, insert:0}; examples=replace: [saith:] -> [saith,] | replace: [vp] -> [up] | replace: [captiuitie captiue,] -> [captivity captive,] | replace: [gaue] -> [gave] | replace: [vnto] -> [unto]","ops={replace:1, delete:0, insert:0}; examples=replace: [When he ascended vp on high he led captiuitie captiue and gaue gifts vnto men] -> [When he ascended up on high he led captivity captive and gave gifts unto men]",
1CH:23:3,1CH,23,3,0.29900251991969196,0.29900251991969196,,R0,R1,0.0,"Now the Leuites were numbred from the age of thirtie yeeres and vpward: and their number, by their polles, man by man, was thirtie and eight thousand.","Now the Levites were numbered from the age of thirty years and upward: and their number by their polls, man by man, was thirty and eight thousand.","now the leuites were numbred from the age of thirtie yeeres and vpward: and their number, by their polles, man by man, was thirtie and eight thousand.","now the levites were numbered from the age of thirty years and upward: and their number by their polls, man by man, was thirty and eight thousand.",STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:5, delete:3, insert:1}; examples=replace: [u] -> [v] | insert: [] -> [e] | replace: [i e] -> [y] | replace: [e] -> [a] | delete: [e] -> [] | replace: [v] -> [u] | delete: [,] -> [] | delete: [e] -> []","ops={replace:7, delete:0, insert:0}; examples=replace: [Leuites] -> [Levites] | replace: [numbred] -> [numbered] | replace: [thirtie yeeres] -> [thirty years] | replace: [vpward:] -> [upward:] | replace: [number,] -> [number] | replace: [polles,] -> [polls,] | replace: [thirtie] -> [thirty]","ops={replace:2, delete:0, insert:0}; examples=replace: [Now the Leuites were numbred from the age of thirtie yeeres and vpward and their number by their polles] -> [Now the Levites were numbered from the age of thirty years and upward and their number by their polls] | replace: [was thirtie and eight thousand] -> [was thirty and eight thousand]",
PSA:7:2,PSA,7,2,0.29880662351009546,0.29880662351009546,,R0,R1,0.0,"Least hee teare my soule like a lyon, renting it in pieces, while there is none to deliuer.","Lest he tear my soul like a lion, rending it in pieces, while there is none to deliver.","least hee teare my soule like a lyon, renting it in pieces, while there is none to deliuer.","lest he tear my soul like a lion, rending it in pieces, while there is none to deliver.",STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:3, delete:4, insert:0}; examples=delete: [a] -> [] | delete: [e] -> [] | delete: [e] -> [] | delete: [e] -> [] | replace: [y] -> [i] | replace: [t] -> [d] | replace: [u] -> [v]","ops={replace:4, delete:0, insert:0}; examples=replace: [Least hee teare] -> [Lest he tear] | replace: [soule] -> [soul] | replace: [lyon, renting] -> [lion, rending] | replace: [deliuer.] -> [deliver.]","ops={replace:1, delete:0, insert:0}; examples=replace: [Least hee teare my soule like a lyon renting it in pieces while there is none to deliuer] -> [Lest he tear my soul like a lion rending it in pieces while there is none to deliver]",
MAT:20:17,MAT,20,17,0.29870540910558374,0.29870540910558374,,R0,R1,0.0,"¶ And Iesus going vp to Hierusalem, tooke the twelue disciples apart in the way, and said vnto them,","And Jesus going up to Jerusalem took the twelve disciples apart in the way, and said unto them,","¶ and iesus going vp to hierusalem, tooke the twelue disciples apart in the way, and said vnto them,","and jesus going up to jerusalem took the twelve disciples apart in the way, and said unto them,",STRONG_OUTLIER,STRONG_OUTLIER,,normalization_insensitive,"ops={replace:5, delete:3, insert:0}; examples=delete: [¶  ] -> [] | replace: [I] -> [J] | replace: [v] -> [u] | replace: [H i] -> [J] | delete: [,] -> [] | delete: [e] -> [] | replace: [u] -> [v] | replace: [v] -> [u]","ops={replace:5, delete:1, insert:0}; examples=delete: [¶] -> [] | replace: [Iesus] -> [Jesus] | replace: [vp] -> [up] | replace: [Hierusalem, tooke] -> [Jerusalem took] | replace: [twelue] -> [twelve] | replace: [vnto] -> [unto]","ops={replace:1, delete:0, insert:0}; examples=replace: [¶ And Iesus going vp to Hierusalem tooke the twelue disciples apart in the way and said vnto them] -> [And Jesus going up to Jerusalem took the twelve disciples apart in the way and said unto them]",
