rank_overall,rank_within_representation,rank_within_classification,rank_within_work,unit_key,work_code,work_name,representation,classification,drift_value,threshold_primary,threshold_secondary,threshold_source,excess_over_primary,excess_over_secondary,drift_to_primary_ratio,drift_to_secondary_ratio,small_sample_flag,mad_zero_flag
64,32,32,3,DEU:32:40,DEU,Deuteronomy,R1,STRONG_OUTLIER,0.3478092410077298,0.2277736606676687,0.158268997269363,WORK,0.12003558034006112,0.1895402437383668,1.5269950001602601,2.1975828937349133,False,False
65,33,33,1,1CO:16:24,1CO,1Corinthians,R0,STRONG_OUTLIER,0.3435395785092853,0.2749938527419566,0.1602659200966021,WORK,0.0685457257673287,0.1832736584126832,1.2492627565447774,2.1435597680543244,False,False
66,33,33,1,1CO:16:24,1CO,1Corinthians,R1,STRONG_OUTLIER,0.3435395785092853,0.2749938527419566,0.1602659200966021,WORK,0.0685457257673287,0.1832736584126832,1.2492627565447774,2.1435597680543244,False,False
67,34,34,1,JOB:28:20,JOB,Job,R0,STRONG_OUTLIER,0.3431936275859985,0.2593421210617336,0.1879247125578857,WORK,0.08385150652426487,0.15526891502811277,1.3233239019600096,1.8262293602300224,False,False
68,34,34,1,JOB:28:20,JOB,Job,R1,STRONG_OUTLIER,0.3431936275859985,0.2593421210617336,0.1879247125578857,WORK,0.08385150652426487,0.15526891502811277,1.3233239019600096,1.8262293602300224,False,False
69,35,35,3,JHN:7:15,JHN,John,R0,STRONG_OUTLIER,0.3426075733070276,0.2799187388240086,0.1962180196842647,WORK,0.06268883448301904,0.14638955362276293,1.22395369008301,1.7460556061992625,False,False
70,35,35,3,JHN:7:15,JHN,John,R1,STRONG_OUTLIER,0.3426075733070276,0.2799187388240086,0.1962180196842647,WORK,0.06268883448301904,0.14638955362276293,1.22395369008301,1.7460556061992625,False,False
71,36,36,7,GEN:11:20,GEN,Genesis,R0,STRONG_OUTLIER,0.3416555164279558,0.2785225450278982,0.1976616792286194,WORK,0.06313297140005758,0.14399383719933637,1.2266709554651452,1.728486359932166,False,False
72,36,36,7,GEN:11:20,GEN,Genesis,R1,STRONG_OUTLIER,0.3416555164279558,0.2785225450278982,0.1976616792286194,WORK,0.06313297140005758,0.14399383719933637,1.2266709554651452,1.728486359932166,False,False
73,37,37,2,JOB:28:8,JOB,Job,R0,STRONG_OUTLIER,0.3391226181371186,0.2593421210617336,0.1879247125578857,WORK,0.07978049707538498,0.15119790557923288,1.3076264540012539,1.804566379382701,False,False
74,37,37,2,JOB:28:8,JOB,Job,R1,STRONG_OUTLIER,0.3391226181371186,0.2593421210617336,0.1879247125578857,WORK,0.07978049707538498,0.15119790557923288,1.3076264540012539,1.804566379382701,False,False
75,38,38,1,ACT:21:15,ACT,Acts,R0,STRONG_OUTLIER,0.3366166444113375,0.2407747958049971,0.1622007514290091,WORK,0.09584184860634037,0.17441589298232837,1.3980559854112073,2.075308785228813,False,False
76,38,38,1,ACT:21:15,ACT,Acts,R1,STRONG_OUTLIER,0.3366166444113375,0.2407747958049971,0.1622007514290091,WORK,0.09584184860634037,0.17441589298232837,1.3980559854112073,2.075308785228813,False,False
77,39,39,4,PSA:48:12,PSA,Psalms,R0,STRONG_OUTLIER,0.3362723397153049,0.2517472342683223,0.1720894079000068,WORK,0.0845251054469826,0.1641829318152981,1.3357538591939102,1.954055998093138,False,False
