scope_type,scope_name,representation,n,median_drift,mad_drift,p95_drift,p99_drift,mean_drift,std_drift,min_drift,max_drift,cssi,tsi_p95,tsi_p99
WORK,1PE,R0,105,0.05511734887761188,0.024288547154388995,0.15087436351886152,0.1950868502873471,0.06562425192289088,0.0434251474623763,1.1102230246251565e-16,0.20135955523653204,0.9448826511223881,0.8491256364811385,0.8049131497126529
WORK,1PE,R1,105,0.05511734887761188,0.024288547154388995,0.15087436351886152,0.1950868502873471,0.06562425192289088,0.0434251474623763,1.1102230246251565e-16,0.20135955523653204,0.9448826511223881,0.8491256364811385,0.8049131497126529
WORK,1SA,R0,810,0.0654429415941209,0.03680948103585058,0.19399527329164443,0.25431002352598037,0.08054340586522872,0.05871533149378821,0.0,0.32434169043108063,0.9345570584058791,0.8060047267083555,0.7456899764740197
WORK,1SA,R1,810,0.0654429415941209,0.03680948103585058,0.19399527329164443,0.25431002352598037,0.08054340586522872,0.05871533149378821,0.0,0.32434169043108063,0.9345570584058791,0.8060047267083555,0.7456899764740197
WORK,1TH,R0,89,0.06958958150512606,0.02936512129936608,0.17779621785381156,0.31145887781786163,0.07884509508460086,0.06930060516261645,0.010406636384077683,0.5123821549303869,0.9304104184948739,0.8222037821461885,0.6885411221821384
WORK,1TH,R1,89,0.06958958150512606,0.02936512129936608,0.17779621785381156,0.31145887781786163,0.07884509508460086,0.06930060516261645,0.010406636384077683,0.5123821549303869,0.9304104184948739,0.8222037821461885,0.6885411221821384
WORK,1TI,R0,113,0.04883181383949409,0.0266526626967295,0.1381268719093453,0.24398724463200283,0.057915153388196666,0.04824641413421969,0.0,0.2532833339454392,0.9511681861605059,0.8618731280906546,0.7560127553679972
WORK,1TI,R1,113,0.04883181383949409,0.0266526626967295,0.1381268719093453,0.24398724463200283,0.057915153388196666,0.04824641413421969,0.0,0.2532833339454392,0.9511681861605059,0.8618731280906546,0.7560127553679972
WORK,2CH,R0,822,0.06473665559904501,0.029044935593343646,0.16080235721880257,0.21569922113950152,0.07275763671812138,0.04662881608574734,0.0,0.2858025425911025,0.935263344400955,0.8391976427811975,0.7843007788604985
WORK,2CH,R1,822,0.06473665559904501,0.029044935593343646,0.16080235721880257,0.21569922113950152,0.07275763671812138,0.04662881608574734,0.0,0.2858025425911025,0.935263344400955,0.8391976427811975,0.7843007788604985
WORK,2CO,R0,257,0.05616683804415867,0.029572886654550157,0.17651569171753645,0.2574882529560191,0.06949460029769965,0.05486963962721777,0.0,0.27430281793159605,0.9438331619558413,0.8234843082824636,0.7425117470439808
WORK,2CO,R1,257,0.05616683804415867,0.029572886654550157,0.17651569171753645,0.2574882529560191,0.06949460029769965,0.05486963962721777,0.0,0.27430281793159605,0.9438331619558413,0.8234843082824636,0.7425117470439808
WORK,2JN,R0,13,0.09179513000229655,0.03850661050007975,0.2200784193920886,0.25726491123301964,0.09895121506750783,0.06747423393432767,0.0,0.26656153419325246,0.9082048699977034,0.7799215806079114,0.7427350887669804
WORK,2JN,R1,13,0.09179513000229655,0.03850661050007975,0.2200784193920886,0.25726491123301964,0.09895121506750783,0.06747423393432767,0.0,0.26656153419325246,0.9082048699977034,0.7799215806079114,0.7427350887669804
WORK,2KI,R0,719,0.059807846315606095,0.028406406667329964,0.15748815517806145,0.20422831054959262,0.068835598064755,0.04626027811510795,0.0,0.30596541958752443,0.9401921536843939,0.8425118448219385,0.7957716894504074
WORK,2KI,R1,719,0.059807846315606095,0.028406406667329964,0.15748815517806145,0.20422831054959262,0.068835598064755,0.04626027811510795,0.0,0.30596541958752443,0.9401921536843939,0.8425118448219385,0.7957716894504074
WORK,2PE,R0,61,0.06666334750428193,0.0283098732982221,0.16402850422717685,0.23355901677234844,0.07421720738901272,0.04888618499572349,0.0036378925442954735,0.234970415444419,0.9333366524957181,0.8359714957728231,0.7664409832276515
WORK,2PE,R1,61,0.06666334750428193,0.0283098732982221,0.16402850422717685,0.23355901677234844,0.07421720738901272,0.04888618499572349,0.0036378925442954735,0.234970415444419,0.9333366524957181,0.8359714957728231,0.7664409832276515
WORK,2SA,R0,695,0.07802694030987867,0.04106385144412339,0.2042033708550034,0.2628056201398644,0.08992297881448141,0.05906418635386146,0.0,0.3299318407727513,0.9219730596901213,0.7957966291449966,0.7371943798601356
WORK,2SA,R1,695,0.07802694030987867,0.04106385144412339,0.2042033708550034,0.2628056201398644,0.08992297881448141,0.05906418635386146,0.0,0.3299318407727513,0.9219730596901213,0.7957966291449966,0.7371943798601356
WORK,2TH,R0,47,0.06854822066021093,0.030601705441361315,0.16731749544976343,0.24577123048880894,0.07978537560997717,0.05505274625214348,0.008130890143065783,0.28833725340290184,0.9314517793397891,0.8326825045502366,0.7542287695111911
WORK,2TH,R1,47,0.06854822066021093,0.030601705441361315,0.16731749544976343,0.24577123048880894,0.07978537560997717,0.05505274625214348,0.008130890143065783,0.28833725340290184,0.9314517793397891,0.8326825045502366,0.7542287695111911
WORK,2TI,R0,83,0.05765182162348281,0.027174605548068498,0.14674308958366908,0.22901268813308923,0.07079858061717974,0.06120905928835171,2.220446049250313e-16,0.4668320700103119,0.9423481783765172,0.8532569104163309,0.7709873118669108
WORK,2TI,R1,83,0.05765182162348281,0.027174605548068498,0.14674308958366908,0.22901268813308923,0.07079858061717974,0.06120905928835171,2.220446049250313e-16,0.4668320700103119,0.9423481783765172,0.8532569104163309,0.7709873118669108
WORK,3JN,R0,14,0.06272423874352046,0.03030787427529802,0.14451922292807673,0.16038317924326903,0.074859126131006,0.04366621161038202,0.02122497834144299,0.16434916832206714,0.9372757612564795,0.8554807770719233,0.8396168207567309
WORK,3JN,R1,14,0.06272423874352046,0.03030787427529802,0.14451922292807673,0.16038317924326903,0.074859126131006,0.04366621161038202,0.02122497834144299,0.16434916832206714,0.9372757612564795,0.8554807770719233,0.8396168207567309
WORK,ACT,R0,1007,0.054692006677398486,0.031062667845359826,0.16220075142900917,0.24077479580499714,0.06553573696081483,0.051903680998058276,0.0,0.33661664441133754,0.9453079933226015,0.8377992485709909,0.7592252041950028
WORK,ACT,R1,1007,0.054692006677398486,0.031062667845359826,0.16220075142900917,0.24077479580499714,0.06553573696081483,0.051903680998058276,0.0,0.33661664441133754,0.9453079933226015,0.8377992485709909,0.7592252041950028
WORK,AMO,R0,146,0.05849756095268982,0.026946563058018957,0.16341552510313498,0.23099421360956718,0.07190634714674236,0.050211703121042506,0.00048364087462504646,0.26282067241144236,0.9415024390473101,0.836584474896865,0.7690057863904328
WORK,AMO,R1,146,0.05849756095268982,0.026946563058018957,0.16341552510313498,0.23099421360956718,0.07190634714674236,0.050211703121042506,0.00048364087462504646,0.26282067241144236,0.9415024390473101,0.836584474896865,0.7690057863904328
WORK,COL,R0,95,0.048019912270228504,0.0259857900174858,0.13800648103608204,0.2730871053769968,0.060588101038740065,0.05438856704680767,0.0,0.327774974880342,0.9519800877297715,0.861993518963918,0.7269128946230032
WORK,COL,R1,95,0.048019912270228504,0.0259857900174858,0.13800648103608204,0.2730871053769968,0.060588101038740065,0.05438856704680767,0.0,0.327774974880342,0.9519800877297715,0.861993518963918,0.7269128946230032
